Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1937,-.08,.03,-.21,-.16,-.05,-.05,-.04,.01,.09,.09,.08,-.07,-.03,-.03,-.02,-.14,-.03,.08
1938,.08,.03,.09,.06,-.10,-.17,-.10,-.06,.00,.14,.08,-.13,-.01,.00,.01,.02,-.11,.07
1939,-.05,-.07,-.18,-.10,-.05,-.07,-.06,-.06,-.07,-.04,.07,.44,-.02,-.07,-.08,-.11,-.06,-.01
1940,.00,.08,.09,.18,.11,.11,.12,.07,.15,.11,.17,.32,.13,.14,.17,.13,.10,.14
1941,.18,.31,.10,.16,.17,.13,.22,.15,.02,.35,.23,.22,.19,.19,.27,.14,.16,.20
1942,.30,.03,.05,.09,.11,.05,.00,-.04,-.03,.01,.10,.13,.07,.07,.18,.08,.01,.03
1943,-.01,.17,-.04,.10,.06,-.05,.08,.01,.05,.23,.20,.23,.09,.08,.10,.04,.01,.16
1944,.36,.24,.26,.19,.18,.15,.17,.18,.28,.26,.11,.03,.20,.22,.28,.21,.17,.21
1945,.10,.00,.05,.19,.05,.00,.03,.26,.20,.18,.07,-.07,.09,.10,.04,.10,.10,.15
1946,.15,.03,.01,.05,-.07,-.21,-.13,-.20,-.08,-.08,-.05,-.31,-.08,-.06,.03,.00,-.18,-.07
1947,-.07,-.08,.06,.06,-.02,-.02,-.05,-.07,-.13,.07,.03,-.14,-.03,-.04,-.15,.03,-.05,-.01
1948,.07,-.15,-.25,-.12,-.01,-.05,-.11,-.12,-.15,-.05,-.13,-.24,-.11,-.10,-.07,-.13,-.09,-.11
1949,.07,-.14,-.02,-.11,-.11,-.27,-.13,-.13,-.15,-.06,-.10,-.18,-.11,-.12,-.11,-.08,-.18,-.11
1950,-.26,-.27,-.08,-.21,-.11,-.05,-.09,-.16,-.12,-.21,-.34,-.21,-.18,-.17,-.24,-.13,-.10,-.22
1951,-.34,-.42,-.20,-.14,-.01,-.07,-.01,.06,.05,.08,-.01,.15,-.07,-.10,-.32,-.12,-.01,.04
1952,.11,.11,-.08,.03,-.03,-.03,.04,.05,.07,.00,-.13,-.02,.01,.02,.13,-.03,.02,-.02
1953,.07,.15,.10,.19,.11,.11,.01,.05,.04,.08,-.03,.05,.08,.07,.07,.14,.06,.03
1954,-.24,-.10,-.15,-.14,-.20,-.19,-.19,-.17,-.10,-.02,.08,-.18,-.13,-.11,-.10,-.16,-.18,-.01
1955,.13,-.16,-.32,-.22,-.20,-.14,-.12,.02,-.11,-.05,-.25,-.28,-.14,-.13,-.07,-.25,-.08,-.14
1956,-.13,-.25,-.21,-.28,-.29,-.16,-.09,-.26,-.19,-.23,-.14,-.06,-.19,-.21,-.22,-.26,-.17,-.19
1957,-.09,-.03,-.04,.01,.10,.16,.03,.13,.07,.00,.07,.14,.05,.03,-.06,.02,.11,.05
